X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-85.527029,33.091627,AL,Abanda,33.091627,-85.527029,2024/02/18 17:43:00+00,2024/02/18 19:02:00+00,2024/02/18 20:18:50+00,1
-85.259121,31.564706,AL,Abbeville,31.564706,-85.259121,2024/02/18 17:41:40+00,2024/02/18 19:00:30+00,2024/02/18 20:17:20+00,2
-86.971527,33.602315,AL,Adamsville,33.602315,-86.971527,2024/02/18 17:41:00+00,2024/02/18 19:00:00+00,2024/02/18 20:17:30+00,3
-87.178004,34.202681,AL,Addison,34.202681,-87.178004,2024/02/18 17:41:30+00,2024/02/18 19:00:30+00,2024/02/18 20:18:00+00,4
-87.740899,32.879066,AL,Akron,32.879066,-87.740899,2024/02/18 17:38:40+00,2024/02/18 18:58:00+00,2024/02/18 20:15:50+00,5
-86.82308,33.214355,AL,Alabaster,33.214355,-86.82308,2024/02/18 17:40:40+00,2024/02/18 18:59:50+00,2024/02/18 20:17:20+00,6
-86.21066,34.26313,AL,Albertville,34.26313,-86.21066,2024/02/18 17:43:20+00,2024/02/18 19:02:10+00,2024/02/18 20:19:20+00,7
-85.940589,32.916719,AL,Alexander City,32.916719,-85.940589,2024/02/18 17:42:00+00,2024/02/18 19:01:00+00,2024/02/18 20:18:10+00,8
-85.872008,33.760819,AL,Alexandria,33.760819,-85.872008,2024/02/18 17:43:10+00,2024/02/18 19:02:10+00,2024/02/18 20:19:10+00,9
-88.159344,33.123706,AL,Aliceville,33.123706,-88.159344,2024/02/18 17:38:10+00,2024/02/18 18:57:30+00,2024/02/18 20:15:30+00,10
-86.516109,33.907623,AL,Allgood,33.907623,-86.516109,2024/02/18 17:42:10+00,2024/02/18 19:01:20+00,2024/02/18 20:18:30+00,11
-86.305179,34.040014,AL,Altoona,34.040014,-86.305179,2024/02/18 17:42:50+00,2024/02/18 19:01:50+00,2024/02/18 20:19:00+00,12
-86.478031,31.309436,AL,Andalusia,31.309436,-86.478031,2024/02/18 17:38:50+00,2024/02/18 18:58:00+00,2024/02/18 20:15:30+00,13
-87.274274,34.915675,AL,Anderson,34.915675,-87.274274,2024/02/18 17:42:20+00,2024/02/18 19:01:10+00,2024/02/18 20:18:30+00,14
-85.810891,33.673469,AL,Anniston,33.673469,-85.810891,2024/02/18 17:43:20+00,2024/02/18 19:02:10+00,2024/02/18 20:19:10+00,15
