X,Y,STATE,NAME,LAT,LON,Start_Partial,Start_Total,End_Total,End_Partial,Midpoint_Totality,ObjectId,TestTime
-94.200112,34.638786,AR,Acorn,34.638786,-94.200112,2024/02/18 17:30:40+00,2024/02/18 18:47:35+00,2024/02/18 18:51:37+00,2024/02/18 20:08:30+00,2024/02/18 18:49:36+00,1,12:30:40
-91.826194,35.113627,AR,McRae,35.113627,-91.826194,2024/02/18 17:35:10+00,2024/02/18 18:52:42+00,2024/02/18 18:55:26+00,2024/02/18 20:12:30+00,2024/02/18 18:54:04+00,2,12:35:10
-92.899132,35.03993,AR,Adona,35.03993,-92.899132,2024/02/18 17:33:20+00,2024/02/18 18:50:08+00,2024/02/18 18:54:22+00,2024/02/18 20:10:50+00,2024/02/18 18:52:15+00,3,12:33:20
-92.451217,34.618588,AR,Alexander,34.618588,-92.451217,2024/02/18 17:33:20+00,2024/02/18 18:51:09+00,2024/02/18 18:53:38+00,2024/02/18 20:11:10+00,2024/02/18 18:52:24+00,4,12:33:20
-91.08345,35.892907,AR,Alicia,35.892907,-91.08345,2024/02/18 17:37:30+00,2024/02/18 18:54:29+00,2024/02/18 18:58:05+00,2024/02/18 20:14:10+00,2024/02/18 18:56:17+00,5,12:37:30
-93.728784,35.422002,AR,Alix,35.422002,-93.728784,2024/02/18 17:32:50+00,2024/02/18 18:49:54+00,2024/02/18 18:53:00+00,2024/02/18 20:10:00+00,2024/02/18 18:51:27+00,6,12:32:50
-94.262198,33.764823,AR,Alleene,33.764823,-94.262198,2024/02/18 17:29:10+00,2024/02/18 18:46:15+00,2024/02/18 18:50:16+00,2024/02/18 20:07:40+00,2024/02/18 18:48:16+00,7,12:29:10
-93.378321,34.226886,AR,Alpine,34.226886,-93.378321,2024/02/18 17:31:10+00,2024/02/18 18:48:36+00,2024/02/18 18:52:10+00,2024/02/18 20:09:20+00,2024/02/18 18:50:23+00,8,12:31:10
-93.764388,35.44676,AR,Altus,35.44676,-93.764388,2024/02/18 17:32:50+00,2024/02/18 18:49:58+00,2024/02/18 18:52:54+00,2024/02/18 20:10:00+00,2024/02/18 18:51:26+00,9,12:32:50
-91.109415,35.563173,AR,Amagon,35.563173,-91.109415,2024/02/18 17:37:00+00,2024/02/18 18:54:33+00,2024/02/18 18:57:02+00,2024/02/18 20:13:50+00,2024/02/18 18:55:48+00,10,12:37:00
-93.463423,34.26619,AR,Amity,34.26619,-93.463423,2024/02/18 17:31:10+00,2024/02/18 18:48:22+00,2024/02/18 18:52:12+00,2024/02/18 20:09:20+00,2024/02/18 18:50:17+00,11,12:31:10
-93.421361,34.034536,AR,Antoine,34.034536,-93.421361,2024/02/18 17:30:50+00,2024/02/18 18:48:31+00,2024/02/18 18:51:32+00,2024/02/18 20:09:10+00,2024/02/18 18:50:02+00,12,12:30:50
-92.981271,34.967483,AR,Aplin,34.967483,-92.981271,2024/02/18 17:33:10+00,2024/02/18 18:49:54+00,2024/02/18 18:54:07+00,2024/02/18 20:10:40+00,2024/02/18 18:52:00+00,13,12:33:10
-92.875276,35.410823,AR,Appleton,35.410823,-92.875276,2024/02/18 17:34:00+00,2024/02/18 18:50:41+00,2024/02/18 18:54:55+00,2024/02/18 20:11:10+00,2024/02/18 18:52:48+00,14,12:34:00
-93.070851,34.12738,AR,Arkadelphia,34.12738,-93.070851,2024/02/18 17:31:30+00,2024/02/18 18:49:34+00,2024/02/18 18:51:51+00,2024/02/18 20:09:50+00,2024/02/18 18:50:42+00,15,12:31:30
-94.126627,33.674529,AR,Ashdown,33.674529,-94.126627,2024/02/18 17:29:10+00,2024/02/18 18:46:34+00,2024/02/18 18:50:11+00,2024/02/18 20:07:50+00,2024/02/18 18:48:22+00,16,12:29:10
-91.606512,36.236559,AR,Ash Flat,36.236559,-91.606512,2024/02/18 17:37:20+00,2024/02/18 18:53:46+00,2024/02/18 18:57:59+00,2024/02/18 20:13:40+00,2024/02/18 18:55:52+00,17,12:37:20
-92.949643,35.240863,AR,Atkins,35.240863,-92.949643,2024/02/18 17:33:30+00,2024/02/18 18:50:18+00,2024/02/18 18:54:36+00,2024/02/18 20:11:00+00,2024/02/18 18:52:27+00,18,12:33:30
-91.36086,35.28655,AR,Augusta,35.28655,-91.36086,2024/02/18 17:36:10+00,2024/02/18 18:54:08+00,2024/02/18 18:55:54+00,2024/02/18 20:13:20+00,2024/02/18 18:55:01+00,19,12:36:10
-91.989609,35.005912,AR,Austin,35.005912,-91.989609,2024/02/18 17:34:40+00,2024/02/18 18:52:18+00,2024/02/18 18:55:02+00,2024/02/18 20:12:10+00,2024/02/18 18:53:40+00,20,12:34:40
-92.586141,34.694843,AR,Avilla,34.694843,-92.586141,2024/02/18 17:33:20+00,2024/02/18 18:50:43+00,2024/02/18 18:53:53+00,2024/02/18 20:11:00+00,2024/02/18 18:52:18+00,21,12:33:20
-91.571253,35.312539,AR,Bald Knob,35.312539,-91.571253,2024/02/18 17:35:50+00,2024/02/18 18:53:21+00,2024/02/18 18:56:09+00,2024/02/18 20:13:00+00,2024/02/18 18:54:45+00,22,12:35:50
-94.275195,35.331286,AR,Barling,35.331286,-94.275195,2024/02/18 17:31:50+00,2024/02/18 18:49:52+00,2024/02/18 18:50:41+00,2024/02/18 20:09:00+00,2024/02/18 18:50:16+00,23,12:31:50
